map_name,planner_name,coverage_rate,path_length,coverage_efficiency,num_turns,turn_rate,runtime,free_cells_total,free_cells_covered,num_revisits,revisit_rate
empty,astar_greedy,1.0,2304,1.0,188,0.0816,2.1575,2304,2304,0,0.0
empty,bcd,1.0,2352,0.9796,96,0.0408,0.0108,2304,2304,48,0.0204
empty,stc,1.0,3477,0.6626,2532,0.7282,0.0251,2304,2304,1173,0.3374
sparse_obstacles,astar_greedy,1.0,2149,0.9711,372,0.1731,1.7166,2087,2087,62,0.0289
sparse_obstacles,bcd,1.0,3391,0.6155,429,0.1265,0.02,2087,2087,1304,0.3845
sparse_obstacles,stc,1.0,3281,0.6361,2240,0.6827,0.0347,2087,2087,1194,0.3639
dense_obstacles,astar_greedy,1.0,2092,0.9331,565,0.2701,1.4894,1952,1952,140,0.0669
dense_obstacles,bcd,0.8796,3564,0.4818,588,0.165,0.0243,1952,1717,1847,0.5182
dense_obstacles,stc,1.0,3117,0.6262,2088,0.6699,0.0359,1952,1952,1165,0.3738
corridor,astar_greedy,1.0,602,0.7176,22,0.0365,0.077,432,432,170,0.2824
corridor,bcd,1.0,492,0.878,201,0.4085,0.0065,432,432,60,0.122
corridor,stc,1.0,813,0.5314,467,0.5744,0.0066,432,432,381,0.4686
multi_room,astar_greedy,1.0,2779,0.9644,414,0.149,2.9706,2680,2680,99,0.0356
multi_room,bcd,1.0,3575,0.7497,329,0.092,0.0234,2680,2680,895,0.2503
multi_room,stc,1.0,4739,0.5655,3000,0.633,0.0755,2680,2680,2059,0.4345
